Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
ShopifyRebellion,10,6,7,5,17,19,64
100 Thieves,14,5,16,4,8,4,51
FURIA,10,11,4,5,18,1,49
Liquid Alienware,23,3,0,4,10,8,48
Exo Clan,5,24,4,5,7,2,47
GoNext,5,16,1,15,2,6,45
Alliance,0,8,3,19,5,7,42
CRAZY RACCOON,5,5,6,19,0,3,38
shadow3690,0,1,19,7,5,5,37
Oblivion,11,2,6,3,10,1,33
TSM,3,2,7,4,1,12,29
Envy,1,3,14,1,2,7,28
STALLIONS,2,0,8,10,6,2,28
Cloud9,7,1,3,0,0,15,26
ENTER FORCE.36,3,14,3,0,2,0,22
DreamFire,3,0,0,1,6,11,21
Ninjas,2,4,2,3,9,0,20
FaZe Clan,1,0,9,4,3,1,18
NRG,1,0,5,0,0,4,10
Supernova,2,3,1,1,0,1,8
