Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Alliance,8,13,5,19,21,10,76
AURORA,5,13,18,17,12,0,65
FURIA,6,9,5,10,12,11,53
Liquid Alienware,3,15,5,13,4,6,46
Envy,2,4,8,1,2,24,41
CRAZY RACCOON,17,3,4,6,0,9,39
GaiminGladiators,6,23,2,0,3,2,36
ENTER FORCE.36,20,6,2,2,5,0,35
REIGNITE,1,2,17,6,9,1,36
Team Burger,12,8,1,4,3,7,35
GoNext,0,0,8,10,11,0,29
Team Falcons,3,3,9,0,1,14,30
GHS Professional,1,1,12,4,9,0,27
Zero Tenacity,4,7,7,2,4,2,26
LG,10,0,0,3,0,10,23
STALLIONS,4,4,3,4,5,3,23
Orgless & Hungry,2,1,2,5,9,0,19
Noctem,1,0,1,7,0,1,10
Supernova,3,0,0,0,0,4,7
DreamFire,2,2,0,0,0,3,7
