Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Overall Points
Team Falcons,6,1,8,9,5,19,19,20,87
Noctem,0,8,3,3,22,1,24,10,71
Virtus.pro,8,1,16,13,8,7,1,9,63
Envy,10,23,4,4,0,3,3,3,50
VK GAMING,7,10,11,12,5,0,0,5,50
Team Burger,4,5,3,5,4,19,5,0,45
Complexity,1,6,1,10,10,2,8,7,45
FNATIC,0,4,0,24,1,12,0,3,44
Exo Clan,17,9,3,0,0,6,6,3,44
LG,0,1,21,2,6,2,9,2,43
100 Thieves,19,2,0,0,1,0,0,20,42
GHS Professional,17,7,1,1,3,1,1,10,41
GREEN STEGO,2,13,3,5,3,4,9,0,39
OrglessAndHungry,1,3,6,5,14,5,3,0,37
Zero Tenacity,3,0,3,0,1,13,10,5,35
Cloud9,3,3,1,13,7,3,3,0,33
CRAZY RACCOON,4,3,0,1,8,3,5,7,31
DRAGONS,4,3,10,6,2,4,0,0,29
FaZe Clan,6,2,7,2,2,0,3,7,29
disguised,0,10,9,0,3,1,2,3,28
