Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
FNATIC,22,0,5,13,22,3,65
100 Thieves,0,22,4,0,7,18,51
TSM,3,2,16,17,4,6,48
GUILD,1,8,14,2,15,7,47
Virtus.pro,8,0,20,3,0,15,46
ShopifyRebellion,6,21,6,1,8,3,45
SOURCE XNY,8,10,0,7,16,0,41
Meteor,14,6,5,1,13,1,40
NRG,3,10,0,17,4,2,36
Cloud9,4,4,4,11,4,8,35
Exo Clan,6,0,8,4,3,14,35
disguised,13,4,4,8,0,3,32
GREEN STEGO,0,6,4,6,4,9,29
Complexity,10,0,2,0,4,10,26
Oblivion,0,3,2,13,0,3,21
VK GAMING,4,1,7,0,8,0,20
shadow3690,2,4,7,0,0,1,14
DRAGONS,0,2,0,5,3,2,12
Ninjas,0,1,0,2,0,8,11
FaZe Clan,0,3,4,1,1,0,9
