Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Noctem,3,1,30,12,1,28,75
Cloud9,15,2,6,23,15,13,74
Team Falcons,20,4,13,13,16,0,66
ShopifyRebellion,15,21,1,3,8,3,51
TSM,17,11,8,3,7,3,49
Oblivion,1,24,0,1,0,9,35
GaiminGladiators,9,0,8,1,11,6,35
Exo Clan,1,0,2,4,12,12,31
Zero Tenacity,0,0,0,18,4,7,29
Ninjas,6,3,7,0,9,2,27
OrglessAndHungry,7,6,2,4,0,8,27
FaZe Clan,3,0,12,0,4,7,26
REIGNITE,0,4,15,2,0,4,25
100 Thieves,1,8,0,4,8,1,22
NRG,5,5,4,3,1,1,19
shadow3690,4,9,0,0,5,0,18
LG,0,8,1,8,0,1,18
AURORA,1,4,3,3,3,4,18
Team Burger,4,4,2,2,2,0,14
GHS Professional,6,0,1,6,4,0,17
