Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
GoNext,5,15,23,0,20,3,66
ENTER FORCE.36,8,3,14,0,7,25,56
FNATIC,2,27,2,5,4,12,52
CRAZY RACCOON,12,1,6,10,2,10,46
STALLIONS,8,2,4,9,8,11,45
Alliance,23,1,8,2,4,6,44
VK GAMING,5,3,6,7,19,5,44
DreamFire,6,5,10,5,11,4,41
Virtus.pro,12,2,3,6,4,14,40
GUILD,1,3,0,22,8,0,35
GREEN STEGO,13,5,0,2,8,7,35
Complexity,1,18,7,2,2,1,31
Envy,0,7,4,16,1,1,29
disguised,0,2,11,2,10,1,26
FURIA,4,4,0,7,6,0,21
Supernova,0,11,4,0,1,4,20
Liquid Alienware,5,2,6,4,0,2,18
Meteor,3,2,1,7,1,3,16
DRAGONS,1,3,3,6,0,0,10
SOURCE XNY,5,1,0,1,0,3,10
