Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Overall Points
AURORA,23,11,0,22,12,11,0,19,98
ENTER FORCE.36,7,0,33,9,6,13,10,0,78
GUILD,5,15,1,1,13,19,1,12,67
FURIA,2,5,5,7,8,7,6,26,66
Alliance,17,2,0,10,6,0,20,6,61
TSM,7,8,12,2,16,0,10,0,55
Liquid Alienware,2,22,12,1,0,0,7,7,51
GoNext,5,5,0,1,4,12,15,2,44
GaiminGladiators,1,4,10,5,3,0,18,3,44
ShopifyRebellion,3,13,4,11,2,1,1,7,42
Team Falcons,8,3,4,2,13,6,3,0,39
Cloud9,2,10,7,2,3,1,6,7,38
100 Thieves,11,5,8,0,7,0,1,1,33
CRAZY RACCOON,10,0,2,1,2,15,1,0,31
Exo Clan,0,4,3,13,1,3,1,5,30
Noctem,0,1,7,11,0,5,0,4,28
Complexity,1,1,6,3,4,4,5,2,26
Virtus.pro,0,0,1,0,3,1,5,11,21
FNATIC,6,0,0,0,5,6,0,1,18
GREEN STEGO,0,0,0,3,0,6,1,2,12
