Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Overall Points
Alliance,7,32,1,34,4,4,12,15,24,2,135
100 Thieves,25,7,1,0,11,16,3,2,4,19,88
ROC Esports,1,7,12,2,10,4,11,2,22,11,82
Virtus.pro,13,0,5,3,3,24,4,0,2,22,76
S8UL,2,4,2,1,19,13,7,9,16,3,76
VK GAMING,3,12,23,3,0,3,8,5,0,8,65
Rival Esports,0,9,5,1,18,3,20,2,3,4,65
JD GAMING,2,2,15,8,10,1,5,2,5,7,57
ShopifyRebellion,11,6,13,10,0,1,0,0,2,14,57
GaiminGladiators,4,2,2,14,7,9,9,3,3,3,56
NRG,1,15,0,14,7,2,0,6,5,2,52
CrazyRaccoon,4,0,13,3,6,10,9,2,1,3,51
Team Liquid,1,4,5,8,1,1,12,12,6,0,50
GoNext,7,1,0,2,3,0,3,15,4,5,40
RRX,0,1,2,2,4,8,0,19,3,0,39
EVOS,3,3,8,1,5,0,4,0,11,1,36
Twisted Minds,8,4,3,3,1,4,2,2,0,5,32
UNLIMIT,5,3,1,1,1,7,4,3,2,2,29
SBI e-Sports,4,3,0,6,0,2,1,7,1,1,25
FUSION,10,0,5,0,6,0,0,1,0,2,24
