Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Game 7 P,Game 7 K,Game 8 P,Game 8 K,Game 9 P,Game 9 K,Game 10 P,Game 10 K,Overall Points
Gen.G Esports,5,2,3,9,0,3,9,3,5,0,4,6,1,1,9,12,9,11,2,1,95
Team Liquid,7,10,2,1,0,2,1,3,0,1,0,0,9,3,12,13,1,0,12,10,87
Sentinels,9,12,7,8,3,3,0,1,3,3,1,0,12,9,0,0,7,5,4,0,87
FURIA,0,2,2,1,0,1,1,0,12,17,9,7,2,8,2,1,0,0,9,6,80
Team Nemesis,2,3,4,4,4,3,7,12,2,5,2,2,1,6,2,0,3,5,5,7,79
ENTER FORCE.36,12,8,0,0,2,1,2,2,1,0,3,3,2,2,1,6,12,10,1,5,73
NRG,0,0,0,1,2,3,12,10,1,1,12,11,0,0,5,4,5,2,2,1,72
Twisted Minds,0,0,5,6,12,11,0,0,9,4,2,0,0,0,4,9,1,2,2,1,68
AlQadsiahEsports,0,0,9,4,9,10,4,4,3,1,0,0,4,5,0,0,3,6,0,2,64
GoNext,2,4,3,1,0,4,5,4,0,0,7,10,3,3,1,1,0,0,7,7,62
AG.AL,3,2,12,16,0,1,0,1,4,5,1,0,1,3,3,0,0,0,3,5,60
GaiminGladiators,2,0,1,0,7,6,2,1,1,3,5,7,2,0,7,5,2,2,1,2,56
EVOS,1,3,0,1,1,2,1,9,0,0,3,9,7,3,1,2,0,1,1,3,48
ShopifyRebellion,1,0,1,1,2,0,0,2,7,3,1,0,0,3,1,7,2,6,1,2,40
Team Orchid,1,4,1,0,1,2,1,0,1,5,1,2,5,9,3,0,2,1,0,0,39
JD GAMING,4,5,1,0,1,6,1,3,2,5,2,1,1,1,1,1,1,0,0,2,38
RRX,3,2,2,3,5,3,2,0,2,0,0,1,0,0,2,2,1,1,0,0,29
CrazyRaccoon,1,5,0,3,3,0,3,2,0,0,0,0,0,3,0,0,0,1,1,6,28
NOEZ FOXX,1,2,0,0,1,2,0,0,0,0,0,0,3,1,0,0,4,5,3,3,25
MOUZ,0,0,1,0,1,3,3,5,1,0,1,1,1,0,0,0,1,0,0,2,20
