Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Overall Points
Gen.G Esports,7,12,3,12,5,10,2,21,20,3,95
Team Liquid,17,3,2,4,1,0,12,25,1,22,87
Sentinels,21,15,6,1,6,1,21,0,12,4,87
FURIA,2,3,1,1,29,16,10,3,0,15,80
Team Nemesis,5,8,7,19,7,4,7,2,8,12,79
ENTER FORCE.36,20,0,3,4,1,6,4,7,22,6,73
NRG,0,1,5,22,2,23,0,9,7,3,72
Twisted Minds,0,11,23,0,13,2,0,13,3,3,68
AlQadsiahEsports,0,13,19,8,4,0,9,0,9,2,64
GoNext,6,4,4,9,0,17,6,2,0,14,62
AG.AL,5,28,1,1,9,1,4,3,0,8,60
GaiminGladiators,2,1,13,3,4,12,2,12,4,3,56
EVOS,4,1,3,10,0,12,10,3,1,4,48
ShopifyRebellion,1,2,2,2,10,1,3,8,8,3,40
Team Orchid,5,1,3,1,6,3,14,3,3,0,39
JD GAMING,9,1,7,4,7,3,2,2,1,2,38
RRX,5,5,8,2,2,1,0,4,2,0,29
CrazyRaccoon,6,3,3,5,0,0,3,0,1,7,28
NOEZ FOXX,3,0,3,0,0,0,4,0,9,6,25
MOUZ,0,1,4,8,1,2,1,0,1,2,20
