Team,Rank,Game,Placement,Kills,Points
Alliance,1,1,5,3,7
Alliance,1,2,1,20,32
Alliance,1,3,14,0,1
Alliance,1,4,1,22,34
Alliance,1,5,8,2,4
Alliance,1,6,14,3,4
Alliance,1,7,4,7,12
100 Thieves,2,1,1,13,25
100 Thieves,2,2,8,5,7
100 Thieves,2,3,13,0,1
100 Thieves,2,4,20,0,0
100 Thieves,2,5,3,4,11
100 Thieves,2,6,2,7,16
100 Thieves,2,7,10,1,3
Rival Esports,3,1,19,0,0
Rival Esports,3,2,4,4,9
Rival Esports,3,3,7,2,5
Rival Esports,3,4,11,0,1
Rival Esports,3,5,2,9,18
Rival Esports,3,6,7,0,3
Rival Esports,3,7,1,8,20
Virtus.pro,4,1,3,6,13
Virtus.pro,4,2,19,0,0
Virtus.pro,4,3,9,3,5
Virtus.pro,4,4,6,0,3
Virtus.pro,4,5,18,3,3
Virtus.pro,4,6,1,12,24
Virtus.pro,4,7,13,3,4
VK GAMING,5,1,9,1,3
VK GAMING,5,2,2,3,12
VK GAMING,5,3,1,11,23
VK GAMING,5,4,10,1,3
VK GAMING,5,5,20,0,0
VK GAMING,5,6,11,2,3
VK GAMING,5,7,6,5,8
S8UL,6,1,18,2,2
S8UL,6,2,15,3,4
S8UL,6,3,11,1,2
S8UL,6,4,17,1,1
S8UL,6,5,1,7,19
S8UL,6,6,5,9,13
S8UL,6,7,3,0,7
GaiminGladiators,7,1,7,1,4
GaiminGladiators,7,2,10,0,2
GaiminGladiators,7,3,8,0,2
GaiminGladiators,7,4,3,7,14
GaiminGladiators,7,5,6,4,7
GaiminGladiators,7,6,3,2,9
GaiminGladiators,7,7,7,6,9
ROC Esports,8,1,12,0,1
ROC Esports,8,2,6,4,7
ROC Esports,8,3,5,8,12
ROC Esports,8,4,14,1,2
ROC Esports,8,5,5,6,10
ROC Esports,8,6,9,2,4
ROC Esports,8,7,5,7,11
CrazyRaccoon,9,1,13,3,4
CrazyRaccoon,9,2,20,0,0
CrazyRaccoon,9,3,2,4,13
CrazyRaccoon,9,4,9,1,3
CrazyRaccoon,9,5,12,5,6
CrazyRaccoon,9,6,6,7,10
CrazyRaccoon,9,7,11,8,9
JD GAMING,10,1,8,0,2
JD GAMING,10,2,12,1,2
JD GAMING,10,3,3,8,15
JD GAMING,10,4,7,5,8
JD GAMING,10,5,4,5,10
JD GAMING,10,6,13,0,1
JD GAMING,10,7,15,4,5
ShopifyRebellion,11,1,2,2,11
ShopifyRebellion,11,2,11,5,6
ShopifyRebellion,11,3,6,10,13
ShopifyRebellion,11,4,5,6,10
ShopifyRebellion,11,5,17,0,0
ShopifyRebellion,11,6,15,0,1
ShopifyRebellion,11,7,18,0,0
NRG,12,1,16,1,1
NRG,12,2,3,8,15
NRG,12,3,20,0,0
NRG,12,4,2,5,14
NRG,12,5,10,5,7
NRG,12,6,10,0,2
NRG,12,7,16,0,0
Team Liquid,13,1,20,1,1
Team Liquid,13,2,9,2,4
Team Liquid,13,3,15,4,5
Team Liquid,13,4,12,7,8
Team Liquid,13,5,11,0,1
Team Liquid,13,6,17,1,1
Team Liquid,13,7,2,3,12
Twisted Minds,14,1,6,5,8
Twisted Minds,14,2,5,0,4
Twisted Minds,14,3,17,3,3
Twisted Minds,14,4,8,1,3
Twisted Minds,14,5,13,0,1
Twisted Minds,14,6,12,3,4
Twisted Minds,14,7,8,0,2
EVOS,15,1,11,2,3
EVOS,15,2,18,3,3
EVOS,15,3,12,7,8
EVOS,15,4,15,0,1
EVOS,15,5,9,3,5
EVOS,15,6,20,0,0
EVOS,15,7,14,3,4
UNLIMIT,16,1,14,4,5
UNLIMIT,16,2,17,3,3
UNLIMIT,16,3,19,1,1
UNLIMIT,16,4,16,1,1
UNLIMIT,16,5,14,0,1
UNLIMIT,16,6,8,5,7
UNLIMIT,16,7,12,3,4
FUSION,17,1,4,5,10
FUSION,17,2,16,0,0
FUSION,17,3,4,0,5
FUSION,17,4,19,0,0
FUSION,17,5,7,3,6
FUSION,17,6,19,0,0
FUSION,17,7,20,0,0
RRX,18,1,17,0,0
RRX,18,2,14,0,1
RRX,18,3,10,0,2
RRX,18,4,13,1,2
RRX,18,5,16,4,4
RRX,18,6,4,3,8
RRX,18,7,19,0,0
GoNext,19,1,10,5,7
GoNext,19,2,13,0,1
GoNext,19,3,18,0,0
GoNext,19,4,18,2,2
GoNext,19,5,15,2,3
GoNext,19,6,18,0,0
GoNext,19,7,9,1,3
SBI e-Sports,20,1,15,3,4
SBI e-Sports,20,2,7,0,3
SBI e-Sports,20,3,16,0,0
SBI e-Sports,20,4,4,1,6
SBI e-Sports,20,5,19,0,0
SBI e-Sports,20,6,16,2,2
SBI e-Sports,20,7,17,1,1
