Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
LG,12,12,2,6,1,1,12,23,2,2,2,4,79
MPIRE,1,3,1,2,2,0,9,11,7,3,7,10,56
Virtus.pro,1,4,5,9,3,10,0,4,9,9,0,0,54
NOEZ FOXX,2,4,12,10,1,0,2,1,1,5,5,6,49
FaZe,0,0,0,0,12,4,0,0,3,6,12,5,42
EXO Clan,0,0,4,10,1,7,0,0,2,1,9,7,41
ShopifyRebellion,1,1,0,5,5,7,5,6,1,0,4,4,39
ARU ARMY,0,0,2,1,3,1,2,0,12,10,1,2,34
Unleash,3,0,2,0,9,6,3,2,1,2,1,2,31
SBI e-Sports,2,5,3,5,1,3,0,0,0,3,3,6,31
F.W.G,4,3,3,0,2,5,1,0,5,4,1,3,31
XNY,5,11,1,3,0,0,7,2,0,0,0,0,29
Zone Spammers,7,1,1,2,7,3,4,2,1,0,0,0,28
SGB,9,5,1,0,0,0,1,1,4,1,2,1,25
DXAEsports,1,1,9,4,0,0,2,4,0,0,2,0,23
FLAT,3,4,0,0,1,4,1,2,3,1,1,3,23
HEROEZ,1,4,1,0,0,3,3,2,0,4,3,2,23
RTS,0,0,0,0,2,2,1,1,2,7,0,0,15
Legion Gaming,0,0,0,0,0,0,0,2,0,2,0,0,4
