Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Noctem,7,0,22,18,4,9,60
AURORA,2,18,8,5,14,13,60
GaiminGladiators,25,2,4,0,19,9,59
Complexity,4,9,18,5,2,17,55
Team Falcons,18,10,0,2,21,0,51
GUILD,8,9,12,6,0,11,46
FNATIC,5,15,0,2,1,20,43
GREEN STEGO,8,4,9,10,3,5,39
SOURCE XNY,3,0,1,18,8,6,36
DRAGONS,5,13,0,3,9,0,30
VK GAMING,1,1,2,10,9,7,30
Virtus.pro,6,5,3,4,5,1,24
Team Burger,0,2,13,1,5,2,23
LG,1,0,3,15,3,0,22
disguised,1,7,0,4,3,7,22
Zero Tenacity,3,8,2,5,2,0,20
REIGNITE,8,1,1,1,2,1,14
OrglessAndHungry,3,0,6,0,3,0,12
GHS Professional,0,1,7,0,1,2,11
Meteor,0,6,0,2,2,1,11
