Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Overall Points
OrglessAndHungry,25,10,4,10,5,7,11,24,96
LG,6,0,15,12,5,19,2,11,70
GHS Professional,1,0,11,15,16,17,6,0,66
VK GAMING,5,5,0,22,4,5,9,6,58
DRAGONS,14,0,2,3,5,18,5,11,58
Zero Tenacity,1,4,24,3,6,11,2,3,54
Envy,7,1,0,9,4,4,20,8,53
disguised,10,3,3,13,0,0,18,4,51
FaZe Clan,5,10,2,0,15,3,7,0,42
Team Burger,2,12,0,0,9,6,1,11,41
NRG,6,11,8,0,7,3,0,6,41
Ninjas,0,9,12,7,0,5,4,3,40
SOURCE XNY,0,6,4,2,13,10,2,0,37
Supernova,3,25,3,0,3,0,0,2,36
DreamFire,5,3,9,1,2,4,4,6,34
Oblivion,2,4,0,6,11,3,1,3,30
REIGNITE,8,0,8,2,2,1,5,1,27
shadow3690,3,0,3,3,5,0,8,0,22
STALLIONS,4,1,1,1,0,0,2,9,18
Meteor,0,2,1,0,0,0,3,4,10
