Team,Rank,Game,Placement,Kills,Points
FNATIC,1,1,1,10,22
FNATIC,1,2,20,0,0
FNATIC,1,3,5,1,5
FNATIC,1,4,3,6,13
FNATIC,1,5,1,10,22
FNATIC,1,6,6,0,3
100 Thieves,2,1,20,0,0
100 Thieves,2,2,1,10,22
100 Thieves,2,3,6,1,4
100 Thieves,2,4,20,0,0
100 Thieves,2,5,4,2,7
100 Thieves,2,6,2,9,18
TSM,3,1,6,0,3
TSM,3,2,7,0,2
TSM,3,3,2,7,16
TSM,3,4,2,8,17
TSM,3,5,6,1,4
TSM,3,6,5,2,6
GUILD,4,1,8,0,1
GUILD,4,2,4,3,8
GUILD,4,3,3,7,14
GUILD,4,4,7,0,2
GUILD,4,5,2,6,15
GUILD,4,6,4,2,7
Virtus.pro,5,1,4,3,8
Virtus.pro,5,2,20,0,0
Virtus.pro,5,3,1,8,20
Virtus.pro,5,4,6,0,3
Virtus.pro,5,5,20,0,0
Virtus.pro,5,6,2,6,15
ShopifyRebellion,6,1,5,2,6
ShopifyRebellion,6,2,1,9,21
ShopifyRebellion,6,3,5,2,6
ShopifyRebellion,6,4,8,0,1
ShopifyRebellion,6,5,4,3,8
ShopifyRebellion,6,6,6,0,3
SOURCE XNY,7,1,4,3,8
SOURCE XNY,7,2,3,3,10
SOURCE XNY,7,3,20,0,0
SOURCE XNY,7,4,4,2,7
SOURCE XNY,7,5,2,7,16
SOURCE XNY,7,6,20,0,0
Meteor,8,1,3,7,14
Meteor,8,2,5,2,6
Meteor,8,3,5,1,5
Meteor,8,4,8,0,1
Meteor,8,5,3,6,13
Meteor,8,6,8,0,1
NRG,9,1,6,0,3
NRG,9,2,3,3,10
NRG,9,3,20,0,0
NRG,9,4,2,8,17
NRG,9,5,6,1,4
NRG,9,6,7,0,2
Cloud9,10,1,6,1,4
Cloud9,10,2,6,1,4
Cloud9,10,3,6,1,4
Cloud9,10,4,3,4,11
Cloud9,10,5,6,1,4
Cloud9,10,6,4,3,8
Exo Clan,11,1,5,2,6
Exo Clan,11,2,20,0,0
Exo Clan,11,3,4,3,8
Exo Clan,11,4,6,1,4
Exo Clan,11,5,6,0,3
Exo Clan,11,6,3,7,14
disguised,12,1,3,6,13
disguised,12,2,6,1,4
disguised,12,3,6,1,4
disguised,12,4,4,3,8
disguised,12,5,20,0,0
disguised,12,6,6,0,3
GREEN STEGO,13,1,20,0,0
GREEN STEGO,13,2,5,2,6
GREEN STEGO,13,3,6,1,4
GREEN STEGO,13,4,5,2,6
GREEN STEGO,13,5,6,1,4
GREEN STEGO,13,6,4,4,9
Complexity,14,1,3,3,10
Complexity,14,2,20,0,0
Complexity,14,3,7,0,2
Complexity,14,4,20,0,0
Complexity,14,5,6,1,4
Complexity,14,6,3,3,10
Oblivion,15,1,20,0,0
Oblivion,15,2,6,0,3
Oblivion,15,3,7,0,2
Oblivion,15,4,3,6,13
Oblivion,15,5,20,0,0
Oblivion,15,6,6,0,3
VK GAMING,16,1,6,1,4
VK GAMING,16,2,8,0,1
VK GAMING,16,3,4,2,7
VK GAMING,16,4,20,0,0
VK GAMING,16,5,4,3,8
VK GAMING,16,6,20,0,0
shadow3690,17,1,7,0,2
shadow3690,17,2,6,1,4
shadow3690,17,3,4,2,7
shadow3690,17,4,20,0,0
shadow3690,17,5,20,0,0
shadow3690,17,6,8,0,1
DRAGONS,18,1,20,0,0
DRAGONS,18,2,7,0,2
DRAGONS,18,3,20,0,0
DRAGONS,18,4,5,1,5
DRAGONS,18,5,6,0,3
DRAGONS,18,6,7,0,2
Ninjas,19,1,20,0,0
Ninjas,19,2,8,0,1
Ninjas,19,3,20,0,0
Ninjas,19,4,7,0,2
Ninjas,19,5,20,0,0
Ninjas,19,6,4,3,8
FaZe Clan,20,1,20,0,0
FaZe Clan,20,2,6,0,3
FaZe Clan,20,3,6,1,4
FaZe Clan,20,4,8,0,1
FaZe Clan,20,5,8,0,1
FaZe Clan,20,6,20,0,0
