Team,Rank,Game,Placement,Kills,Points
Noctem,1,1,6,0,3
Noctem,1,2,8,0,1
Noctem,1,3,1,15,30
Noctem,1,4,3,5,12
Noctem,1,5,8,0,1
Noctem,1,6,1,15,28
Cloud9,2,1,2,6,15
Cloud9,2,2,7,0,2
Cloud9,2,3,5,2,6
Cloud9,2,4,1,11,23
Cloud9,2,5,2,6,15
Cloud9,2,6,3,6,13
Team Falcons,3,1,1,8,20
Team Falcons,3,2,6,1,4
Team Falcons,3,3,3,6,13
Team Falcons,3,4,3,6,13
Team Falcons,3,5,2,7,16
Team Falcons,3,6,20,0,0
ShopifyRebellion,4,1,2,6,15
ShopifyRebellion,4,2,1,9,21
ShopifyRebellion,4,3,8,0,1
ShopifyRebellion,4,4,6,0,3
ShopifyRebellion,4,5,4,3,8
ShopifyRebellion,4,6,6,0,3
TSM,5,1,2,8,17
TSM,5,2,3,4,11
TSM,5,3,4,3,8
TSM,5,4,6,0,3
TSM,5,5,4,2,7
TSM,5,6,6,0,3
Oblivion,6,1,8,0,1
Oblivion,6,2,1,12,24
Oblivion,6,3,20,0,0
Oblivion,6,4,8,0,1
Oblivion,6,5,20,0,0
Oblivion,6,6,4,4,9
GaiminGladiators,7,1,4,4,9
GaiminGladiators,7,2,20,0,0
GaiminGladiators,7,3,4,3,8
GaiminGladiators,7,4,8,0,1
GaiminGladiators,7,5,3,4,11
GaiminGladiators,7,6,5,2,6
Exo Clan,8,1,8,0,1
Exo Clan,8,2,20,0,0
Exo Clan,8,3,7,0,2
Exo Clan,8,4,6,1,4
Exo Clan,8,5,3,5,12
Exo Clan,8,6,3,5,12
Zero Tenacity,9,1,20,0,0
Zero Tenacity,9,2,20,0,0
Zero Tenacity,9,3,20,0,0
Zero Tenacity,9,4,2,9,18
Zero Tenacity,9,5,6,1,4
Zero Tenacity,9,6,4,2,7
Ninjas,10,1,5,2,6
Ninjas,10,2,6,0,3
Ninjas,10,3,4,2,7
Ninjas,10,4,20,0,0
Ninjas,10,5,4,4,9
Ninjas,10,6,7,0,2
OrglessAndHungry,11,1,4,2,7
OrglessAndHungry,11,2,5,2,6
OrglessAndHungry,11,3,7,0,2
OrglessAndHungry,11,4,6,1,4
OrglessAndHungry,11,5,20,0,0
OrglessAndHungry,11,6,4,3,8
FaZe Clan,12,1,6,0,3
FaZe Clan,12,2,20,0,0
FaZe Clan,12,3,3,5,12
FaZe Clan,12,4,20,0,0
FaZe Clan,12,5,6,1,4
FaZe Clan,12,6,4,2,7
REIGNITE,13,1,20,0,0
REIGNITE,13,2,6,1,4
REIGNITE,13,3,2,6,15
REIGNITE,13,4,7,0,2
REIGNITE,13,5,20,0,0
REIGNITE,13,6,6,1,4
100 Thieves,14,1,8,0,1
100 Thieves,14,2,4,3,8
100 Thieves,14,3,20,0,0
100 Thieves,14,4,6,1,4
100 Thieves,14,5,4,3,8
100 Thieves,14,6,8,0,1
NRG,15,1,5,1,5
NRG,15,2,5,1,5
NRG,15,3,6,1,4
NRG,15,4,6,0,3
NRG,15,5,8,0,1
NRG,15,6,8,0,1
shadow3690,16,1,6,1,4
shadow3690,16,2,4,4,9
shadow3690,16,3,20,0,0
shadow3690,16,4,20,0,0
shadow3690,16,5,5,1,5
shadow3690,16,6,20,0,0
LG,17,1,20,0,0
LG,17,2,4,3,8
LG,17,3,8,0,1
LG,17,4,4,3,8
LG,17,5,20,0,0
LG,17,6,8,0,1
AURORA,18,1,8,0,1
AURORA,18,2,6,1,4
AURORA,18,3,6,0,3
AURORA,18,4,6,0,3
AURORA,18,5,6,0,3
AURORA,18,6,6,1,4
Team Burger,19,1,6,1,4
Team Burger,19,2,6,1,4
Team Burger,19,3,7,0,2
Team Burger,19,4,7,0,2
Team Burger,19,5,7,0,2
Team Burger,19,6,20,0,0
GHS Professional,20,1,5,2,6
GHS Professional,20,2,20,0,0
GHS Professional,20,3,8,0,1
GHS Professional,20,4,5,2,6
GHS Professional,20,5,6,1,4
GHS Professional,20,6,20,0,0
