Team,Rank,Game,Placement,Kills,Points
ShopifyRebellion,1,1,3,3,10
ShopifyRebellion,1,2,5,2,6
ShopifyRebellion,1,3,4,2,7
ShopifyRebellion,1,4,5,1,5
ShopifyRebellion,1,5,2,8,17
ShopifyRebellion,1,6,2,10,19
100 Thieves,2,1,3,7,14
100 Thieves,2,2,5,1,5
100 Thieves,2,3,2,7,16
100 Thieves,2,4,6,1,4
100 Thieves,2,5,4,3,8
100 Thieves,2,6,6,1,4
FURIA,3,1,3,3,10
FURIA,3,2,3,4,11
FURIA,3,3,6,1,4
FURIA,3,4,5,1,5
FURIA,3,5,2,9,18
FURIA,3,6,8,0,1
Liquid Alienware,4,1,1,11,23
Liquid Alienware,4,2,6,0,3
Liquid Alienware,4,3,20,0,0
Liquid Alienware,4,4,6,1,4
Liquid Alienware,4,5,3,3,10
Liquid Alienware,4,6,4,3,8
Exo Clan,5,1,5,1,5
Exo Clan,5,2,1,12,24
Exo Clan,5,3,6,1,4
Exo Clan,5,4,5,1,5
Exo Clan,5,5,4,2,7
Exo Clan,5,6,7,0,2
GoNext,6,1,5,1,5
GoNext,6,2,2,7,16
GoNext,6,3,8,0,1
GoNext,6,4,2,6,15
GoNext,6,5,7,0,2
GoNext,6,6,5,2,6
Alliance,7,1,20,0,0
Alliance,7,2,4,3,8
Alliance,7,3,6,0,3
Alliance,7,4,2,10,19
Alliance,7,5,5,1,5
Alliance,7,6,4,2,7
CRAZY RACCOON,8,1,5,1,5
CRAZY RACCOON,8,2,5,1,5
CRAZY RACCOON,8,3,5,2,6
CRAZY RACCOON,8,4,2,10,19
CRAZY RACCOON,8,5,20,0,0
CRAZY RACCOON,8,6,6,0,3
shadow3690,9,1,20,0,0
shadow3690,9,2,8,0,1
shadow3690,9,3,2,10,19
shadow3690,9,4,4,2,7
shadow3690,9,5,5,1,5
shadow3690,9,6,5,1,5
Oblivion,10,1,3,4,11
Oblivion,10,2,7,0,2
Oblivion,10,3,5,2,6
Oblivion,10,4,6,0,3
Oblivion,10,5,3,3,10
Oblivion,10,6,8,0,1
TSM,11,1,6,0,3
TSM,11,2,7,0,2
TSM,11,3,4,2,7
TSM,11,4,6,1,4
TSM,11,5,8,0,1
TSM,11,6,3,5,12
Envy,12,1,8,0,1
Envy,12,2,6,0,3
Envy,12,3,3,7,14
Envy,12,4,8,0,1
Envy,12,5,7,0,2
Envy,12,6,4,2,7
STALLIONS,13,1,7,0,2
STALLIONS,13,2,20,0,0
STALLIONS,13,3,4,3,8
STALLIONS,13,4,3,3,10
STALLIONS,13,5,5,2,6
STALLIONS,13,6,7,0,2
Cloud9,14,1,4,2,7
Cloud9,14,2,8,0,1
Cloud9,14,3,6,0,3
Cloud9,14,4,20,0,0
Cloud9,14,5,20,0,0
Cloud9,14,6,2,6,15
ENTER FORCE.36,15,1,6,0,3
ENTER FORCE.36,15,2,3,7,14
ENTER FORCE.36,15,3,6,0,3
ENTER FORCE.36,15,4,20,0,0
ENTER FORCE.36,15,5,7,0,2
ENTER FORCE.36,15,6,20,0,0
DreamFire,16,1,6,0,3
DreamFire,16,2,20,0,0
DreamFire,16,3,20,0,0
DreamFire,16,4,8,0,1
DreamFire,16,5,5,2,6
DreamFire,16,6,3,4,11
Ninjas,17,1,7,0,2
Ninjas,17,2,6,1,4
Ninjas,17,3,7,0,2
Ninjas,17,4,6,0,3
Ninjas,17,5,4,4,9
Ninjas,17,6,20,0,0
FaZe Clan,18,1,8,0,1
FaZe Clan,18,2,20,0,0
FaZe Clan,18,3,4,4,9
FaZe Clan,18,4,6,1,4
FaZe Clan,18,5,6,0,3
FaZe Clan,18,6,8,0,1
NRG,19,1,8,0,1
NRG,19,2,20,0,0
NRG,19,3,5,1,5
NRG,19,4,20,0,0
NRG,19,5,20,0,0
NRG,19,6,6,1,4
Supernova,20,1,7,0,2
Supernova,20,2,6,0,3
Supernova,20,3,8,0,1
Supernova,20,4,8,0,1
Supernova,20,5,20,0,0
Supernova,20,6,8,0,1
