Team,Rank,Game,Placement,Kills,Points
Noctem,1,1,4,2,7
Noctem,1,2,20,0,0
Noctem,1,3,1,10,22
Noctem,1,4,2,9,18
Noctem,1,5,6,1,4
Noctem,1,6,4,4,9
AURORA,2,1,7,0,2
AURORA,2,2,2,9,18
AURORA,2,3,4,3,8
AURORA,2,4,5,1,5
AURORA,2,5,3,7,14
AURORA,2,6,3,6,13
GaiminGladiators,3,1,1,13,25
GaiminGladiators,3,2,7,0,2
GaiminGladiators,3,3,6,1,4
GaiminGladiators,3,4,20,0,0
GaiminGladiators,3,5,2,10,19
GaiminGladiators,3,6,4,4,9
Complexity,4,1,6,1,4
Complexity,4,2,4,4,9
Complexity,4,3,2,9,18
Complexity,4,4,5,1,5
Complexity,4,5,7,0,2
Complexity,4,6,2,8,17
Team Falcons,5,1,2,9,18
Team Falcons,5,2,3,3,10
Team Falcons,5,3,20,0,0
Team Falcons,5,4,7,0,2
Team Falcons,5,5,1,9,21
Team Falcons,5,6,20,0,0
GUILD,6,1,4,3,8
GUILD,6,2,4,4,9
GUILD,6,3,3,5,12
GUILD,6,4,5,2,6
GUILD,6,5,20,0,0
GUILD,6,6,3,4,11
FNATIC,7,1,5,1,5
FNATIC,7,2,2,6,15
FNATIC,7,3,20,0,0
FNATIC,7,4,7,0,2
FNATIC,7,5,8,0,1
FNATIC,7,6,1,8,20
GREEN STEGO,8,1,4,3,8
GREEN STEGO,8,2,6,1,4
GREEN STEGO,8,3,4,4,9
GREEN STEGO,8,4,3,3,10
GREEN STEGO,8,5,6,0,3
GREEN STEGO,8,6,5,1,5
SOURCE XNY,9,1,6,0,3
SOURCE XNY,9,2,20,0,0
SOURCE XNY,9,3,8,0,1
SOURCE XNY,9,4,2,9,18
SOURCE XNY,9,5,4,3,8
SOURCE XNY,9,6,5,2,6
DRAGONS,10,1,5,1,5
DRAGONS,10,2,3,6,13
DRAGONS,10,3,20,0,0
DRAGONS,10,4,6,0,3
DRAGONS,10,5,4,4,9
DRAGONS,10,6,20,0,0
VK GAMING,11,1,8,0,1
VK GAMING,11,2,8,0,1
VK GAMING,11,3,7,0,2
VK GAMING,11,4,3,3,10
VK GAMING,11,5,4,4,9
VK GAMING,11,6,4,2,7
Virtus.pro,12,1,5,2,6
Virtus.pro,12,2,5,1,5
Virtus.pro,12,3,6,0,3
Virtus.pro,12,4,6,1,4
Virtus.pro,12,5,5,1,5
Virtus.pro,12,6,8,0,1
Team Burger,13,1,20,0,0
Team Burger,13,2,7,0,2
Team Burger,13,3,3,6,13
Team Burger,13,4,8,0,1
Team Burger,13,5,5,1,5
Team Burger,13,6,7,0,2
LG,14,1,8,0,1
LG,14,2,20,0,0
LG,14,3,6,0,3
LG,14,4,2,6,15
LG,14,5,6,0,3
LG,14,6,20,0,0
disguised,15,1,8,0,1
disguised,15,2,4,2,7
disguised,15,3,20,0,0
disguised,15,4,6,1,4
disguised,15,5,6,0,3
disguised,15,6,4,2,7
Zero Tenacity,16,1,6,0,3
Zero Tenacity,16,2,4,3,8
Zero Tenacity,16,3,7,0,2
Zero Tenacity,16,4,5,1,5
Zero Tenacity,16,5,7,0,2
Zero Tenacity,16,6,20,0,0
REIGNITE,17,1,4,3,8
REIGNITE,17,2,8,0,1
REIGNITE,17,3,8,0,1
REIGNITE,17,4,8,0,1
REIGNITE,17,5,7,0,2
REIGNITE,17,6,8,0,1
OrglessAndHungry,18,1,6,0,3
OrglessAndHungry,18,2,20,0,0
OrglessAndHungry,18,3,5,2,6
OrglessAndHungry,18,4,20,0,0
OrglessAndHungry,18,5,6,0,3
OrglessAndHungry,18,6,20,0,0
GHS Professional,19,1,20,0,0
GHS Professional,19,2,8,0,1
GHS Professional,19,3,4,2,7
GHS Professional,19,4,20,0,0
GHS Professional,19,5,8,0,1
GHS Professional,19,6,7,0,2
Meteor,20,1,20,0,0
Meteor,20,2,5,2,6
Meteor,20,3,20,0,0
Meteor,20,4,7,0,2
Meteor,20,5,7,0,2
Meteor,20,6,8,0,1
