Team,Rank,Game,Placement,Kills,Points
GoNext,1,1,5,1,5
GoNext,1,2,2,6,15
GoNext,1,3,1,11,23
GoNext,1,4,20,0,0
GoNext,1,5,1,8,20
GoNext,1,6,6,0,3
ENTER FORCE.36,2,1,4,3,8
ENTER FORCE.36,2,2,6,0,3
ENTER FORCE.36,2,3,3,7,14
ENTER FORCE.36,2,4,20,0,0
ENTER FORCE.36,2,5,4,2,7
ENTER FORCE.36,2,6,1,13,25
FNATIC,3,1,7,0,2
FNATIC,3,2,1,15,27
FNATIC,3,3,7,0,2
FNATIC,3,4,5,1,5
FNATIC,3,5,6,1,4
FNATIC,3,6,3,5,12
CRAZY RACCOON,4,1,3,5,12
CRAZY RACCOON,4,2,8,0,1
CRAZY RACCOON,4,3,5,2,6
CRAZY RACCOON,4,4,3,3,10
CRAZY RACCOON,4,5,7,0,2
CRAZY RACCOON,4,6,3,3,10
STALLIONS,5,1,4,3,8
STALLIONS,5,2,7,0,2
STALLIONS,5,3,6,1,4
STALLIONS,5,4,4,4,9
STALLIONS,5,5,4,3,8
STALLIONS,5,6,3,4,11
Alliance,6,1,1,11,23
Alliance,6,2,8,0,1
Alliance,6,3,4,3,8
Alliance,6,4,7,0,2
Alliance,6,5,6,1,4
Alliance,6,6,5,2,6
VK GAMING,7,1,5,1,5
VK GAMING,7,2,6,0,3
VK GAMING,7,3,5,2,6
VK GAMING,7,4,4,2,7
VK GAMING,7,5,2,10,19
VK GAMING,7,6,5,1,5
DreamFire,8,1,5,2,6
DreamFire,8,2,5,1,5
DreamFire,8,3,3,3,10
DreamFire,8,4,5,1,5
DreamFire,8,5,3,4,11
DreamFire,8,6,6,1,4
Virtus.pro,9,1,3,5,12
Virtus.pro,9,2,7,0,2
Virtus.pro,9,3,6,0,3
Virtus.pro,9,4,5,2,6
Virtus.pro,9,5,6,1,4
Virtus.pro,9,6,3,7,14
GUILD,10,1,8,0,1
GUILD,10,2,6,0,3
GUILD,10,3,20,0,0
GUILD,10,4,1,10,22
GUILD,10,5,4,3,8
GUILD,10,6,20,0,0
GREEN STEGO,11,1,3,6,13
GREEN STEGO,11,2,5,1,5
GREEN STEGO,11,3,20,0,0
GREEN STEGO,11,4,7,0,2
GREEN STEGO,11,5,4,3,8
GREEN STEGO,11,6,4,2,7
Complexity,12,1,8,0,1
Complexity,12,2,2,9,18
Complexity,12,3,4,2,7
Complexity,12,4,7,0,2
Complexity,12,5,7,0,2
Complexity,12,6,8,0,1
Envy,13,1,20,0,0
Envy,13,2,4,2,7
Envy,13,3,6,1,4
Envy,13,4,2,7,16
Envy,13,5,8,0,1
Envy,13,6,8,0,1
disguised,14,1,20,0,0
disguised,14,2,7,0,2
disguised,14,3,3,4,11
disguised,14,4,7,0,2
disguised,14,5,3,3,10
disguised,14,6,8,0,1
FURIA,15,1,6,1,4
FURIA,15,2,6,1,4
FURIA,15,3,20,0,0
FURIA,15,4,4,2,7
FURIA,15,5,5,2,6
FURIA,15,6,20,0,0
Supernova,16,1,20,0,0
Supernova,16,2,3,4,11
Supernova,16,3,6,1,4
Supernova,16,4,20,0,0
Supernova,16,5,8,0,1
Supernova,16,6,6,1,4
Liquid Alienware,17,1,5,1,5
Liquid Alienware,17,2,7,0,2
Liquid Alienware,17,3,5,2,6
Liquid Alienware,17,4,6,1,4
Liquid Alienware,17,5,20,0,0
Liquid Alienware,17,6,7,0,2
Meteor,18,1,6,0,3
Meteor,18,2,7,0,2
Meteor,18,3,8,0,1
Meteor,18,4,4,2,7
Meteor,18,5,8,0,1
Meteor,18,6,6,0,3
DRAGONS,19,1,8,0,1
DRAGONS,19,2,6,0,3
DRAGONS,19,3,6,0,3
DRAGONS,19,4,5,2,6
DRAGONS,19,5,20,0,0
DRAGONS,19,6,20,0,0
SOURCE XNY,20,1,5,1,5
SOURCE XNY,20,2,8,0,1
SOURCE XNY,20,3,20,0,0
SOURCE XNY,20,4,8,0,1
SOURCE XNY,20,5,20,0,0
SOURCE XNY,20,6,6,0,3
