Team,Rank,Game,Placement,Kills,Points
Alliance,1,1,4,3,8
Alliance,1,2,3,6,13
Alliance,1,3,5,1,5
Alliance,1,4,2,10,19
Alliance,1,5,1,9,21
Alliance,1,6,3,3,10
AURORA,2,1,5,1,5
AURORA,2,2,3,6,13
AURORA,2,3,2,9,18
AURORA,2,4,2,8,17
AURORA,2,5,3,5,12
AURORA,2,6,20,0,0
FURIA,3,1,5,2,6
FURIA,3,2,4,4,9
FURIA,3,3,5,1,5
FURIA,3,4,3,3,10
FURIA,3,5,3,5,12
FURIA,3,6,3,4,11
Liquid Alienware,4,1,6,0,3
Liquid Alienware,4,2,2,6,15
Liquid Alienware,4,3,5,1,5
Liquid Alienware,4,4,3,6,13
Liquid Alienware,4,5,6,1,4
Liquid Alienware,4,6,5,2,6
Envy,5,1,7,0,2
Envy,5,2,6,1,4
Envy,5,3,4,3,8
Envy,5,4,8,0,1
Envy,5,5,7,0,2
Envy,5,6,1,12,24
CRAZY RACCOON,6,1,2,8,17
CRAZY RACCOON,6,2,6,0,3
CRAZY RACCOON,6,3,6,1,4
CRAZY RACCOON,6,4,5,2,6
CRAZY RACCOON,6,5,20,0,0
CRAZY RACCOON,6,6,4,4,9
GaiminGladiators,7,1,5,2,6
GaiminGladiators,7,2,1,11,23
GaiminGladiators,7,3,7,0,2
GaiminGladiators,7,4,20,0,0
GaiminGladiators,7,5,6,0,3
GaiminGladiators,7,6,7,0,2
ENTER FORCE.36,8,1,1,8,20
ENTER FORCE.36,8,2,5,2,6
ENTER FORCE.36,8,3,7,0,2
ENTER FORCE.36,8,4,7,0,2
ENTER FORCE.36,8,5,5,1,5
ENTER FORCE.36,8,6,20,0,0
REIGNITE,9,1,8,0,1
REIGNITE,9,2,7,0,2
REIGNITE,9,3,2,8,17
REIGNITE,9,4,5,2,6
REIGNITE,9,5,4,4,9
REIGNITE,9,6,8,0,1
Team Burger,10,1,3,5,12
Team Burger,10,2,4,3,8
Team Burger,10,3,8,0,1
Team Burger,10,4,6,1,4
Team Burger,10,5,6,0,3
Team Burger,10,6,4,2,7
GoNext,11,1,20,0,0
GoNext,11,2,20,0,0
GoNext,11,3,4,3,8
GoNext,11,4,3,3,10
GoNext,11,5,3,4,11
GoNext,11,6,20,0,0
Team Falcons,12,1,6,0,3
Team Falcons,12,2,6,0,3
Team Falcons,12,3,4,4,9
Team Falcons,12,4,20,0,0
Team Falcons,12,5,8,0,1
Team Falcons,12,6,3,7,14
GHS Professional,13,1,8,0,1
GHS Professional,13,2,8,0,1
GHS Professional,13,3,3,5,12
GHS Professional,13,4,6,1,4
GHS Professional,13,5,4,4,9
GHS Professional,13,6,20,0,0
Zero Tenacity,14,1,6,1,4
Zero Tenacity,14,2,4,2,7
Zero Tenacity,14,3,4,2,7
Zero Tenacity,14,4,7,0,2
Zero Tenacity,14,5,6,1,4
Zero Tenacity,14,6,7,0,2
LG,15,1,3,3,10
LG,15,2,20,0,0
LG,15,3,20,0,0
LG,15,4,6,0,3
LG,15,5,20,0,0
LG,15,6,3,3,10
STALLIONS,16,1,6,1,4
STALLIONS,16,2,6,1,4
STALLIONS,16,3,6,0,3
STALLIONS,16,4,6,1,4
STALLIONS,16,5,5,1,5
STALLIONS,16,6,6,0,3
OrglessAndHungry,17,1,7,0,2
OrglessAndHungry,17,2,8,0,1
OrglessAndHungry,17,3,7,0,2
OrglessAndHungry,17,4,5,1,5
OrglessAndHungry,17,5,4,4,9
OrglessAndHungry,17,6,20,0,0
Noctem,18,1,8,0,1
Noctem,18,2,20,0,0
Noctem,18,3,8,0,1
Noctem,18,4,4,2,7
Noctem,18,5,20,0,0
Noctem,18,6,8,0,1
Supernova,19,1,6,0,3
Supernova,19,2,20,0,0
Supernova,19,3,20,0,0
Supernova,19,4,20,0,0
Supernova,19,5,20,0,0
Supernova,19,6,6,1,4
DreamFire,20,1,7,0,2
DreamFire,20,2,7,0,2
DreamFire,20,3,20,0,0
DreamFire,20,4,20,0,0
DreamFire,20,5,20,0,0
DreamFire,20,6,6,0,3
