Team,Rank,Game,Placement,Kills,Points
OrglessAndHungry,1,1,1,13,25
OrglessAndHungry,1,2,3,3,10
OrglessAndHungry,1,3,6,1,4
OrglessAndHungry,1,4,3,3,10
OrglessAndHungry,1,5,5,1,5
OrglessAndHungry,1,6,4,2,7
OrglessAndHungry,1,7,3,4,11
OrglessAndHungry,1,8,1,12,24
LG,2,1,5,2,6
LG,2,2,20,0,0
LG,2,3,2,6,15
LG,2,4,3,5,12
LG,2,5,5,1,5
LG,2,6,2,10,19
LG,2,7,7,0,2
LG,2,8,3,4,11
GHS Professional,3,1,8,0,1
GHS Professional,3,2,20,0,0
GHS Professional,3,3,3,4,11
GHS Professional,3,4,2,6,15
GHS Professional,3,5,2,7,16
GHS Professional,3,6,2,8,17
GHS Professional,3,7,5,2,6
GHS Professional,3,8,20,0,0
VK GAMING,4,1,5,1,5
VK GAMING,4,2,5,1,5
VK GAMING,4,3,20,0,0
VK GAMING,4,4,1,10,22
VK GAMING,4,5,6,1,4
VK GAMING,4,6,5,1,5
VK GAMING,4,7,4,4,9
VK GAMING,4,8,5,2,6
DRAGONS,5,1,3,7,14
DRAGONS,5,2,20,0,0
DRAGONS,5,3,7,0,2
DRAGONS,5,4,6,0,3
DRAGONS,5,5,5,1,5
DRAGONS,5,6,2,9,18
DRAGONS,5,7,5,1,5
DRAGONS,5,8,3,4,11
Zero Tenacity,6,1,8,0,1
Zero Tenacity,6,2,6,1,4
Zero Tenacity,6,3,1,12,24
Zero Tenacity,6,4,6,0,3
Zero Tenacity,6,5,5,2,6
Zero Tenacity,6,6,3,4,11
Zero Tenacity,6,7,7,0,2
Zero Tenacity,6,8,6,0,3
Envy,7,1,4,2,7
Envy,7,2,8,0,1
Envy,7,3,20,0,0
Envy,7,4,4,4,9
Envy,7,5,6,1,4
Envy,7,6,6,1,4
Envy,7,7,1,8,20
Envy,7,8,4,3,8
disguised,8,1,3,3,10
disguised,8,2,6,0,3
disguised,8,3,6,0,3
disguised,8,4,3,6,13
disguised,8,5,20,0,0
disguised,8,6,20,0,0
disguised,8,7,2,9,18
disguised,8,8,6,1,4
FaZe Clan,9,1,5,1,5
FaZe Clan,9,2,3,3,10
FaZe Clan,9,3,7,0,2
FaZe Clan,9,4,20,0,0
FaZe Clan,9,5,2,6,15
FaZe Clan,9,6,6,0,3
FaZe Clan,9,7,4,2,7
FaZe Clan,9,8,20,0,0
Team Burger,10,1,7,0,2
Team Burger,10,2,3,5,12
Team Burger,10,3,20,0,0
Team Burger,10,4,20,0,0
Team Burger,10,5,4,4,9
Team Burger,10,6,5,2,6
Team Burger,10,7,8,0,1
Team Burger,10,8,3,4,11
NRG,11,1,5,2,6
NRG,11,2,3,4,11
NRG,11,3,4,3,8
NRG,11,4,20,0,0
NRG,11,5,4,2,7
NRG,11,6,6,0,3
NRG,11,7,20,0,0
NRG,11,8,5,2,6
Ninjas,12,1,20,0,0
Ninjas,12,2,4,4,9
Ninjas,12,3,3,5,12
Ninjas,12,4,4,2,7
Ninjas,12,5,20,0,0
Ninjas,12,6,5,1,5
Ninjas,12,7,6,1,4
Ninjas,12,8,6,0,3
SOURCE XNY,13,1,20,0,0
SOURCE XNY,13,2,5,2,6
SOURCE XNY,13,3,6,1,4
SOURCE XNY,13,4,7,0,2
SOURCE XNY,13,5,3,6,13
SOURCE XNY,13,6,3,3,10
SOURCE XNY,13,7,7,0,2
SOURCE XNY,13,8,20,0,0
Supernova,14,1,6,0,3
Supernova,14,2,1,13,25
Supernova,14,3,6,0,3
Supernova,14,4,20,0,0
Supernova,14,5,6,0,3
Supernova,14,6,20,0,0
Supernova,14,7,20,0,0
Supernova,14,8,7,0,2
DreamFire,15,1,5,1,5
DreamFire,15,2,6,0,3
DreamFire,15,3,4,4,9
DreamFire,15,4,8,0,1
DreamFire,15,5,7,0,2
DreamFire,15,6,6,1,4
DreamFire,15,7,6,1,4
DreamFire,15,8,5,2,6
Oblivion,16,1,7,0,2
Oblivion,16,2,6,1,4
Oblivion,16,3,20,0,0
Oblivion,16,4,5,2,6
Oblivion,16,5,3,4,11
Oblivion,16,6,6,0,3
Oblivion,16,7,8,0,1
Oblivion,16,8,6,0,3
REIGNITE,17,1,4,3,8
REIGNITE,17,2,20,0,0
REIGNITE,17,3,4,3,8
REIGNITE,17,4,7,0,2
REIGNITE,17,5,7,0,2
REIGNITE,17,6,8,0,1
REIGNITE,17,7,5,1,5
REIGNITE,17,8,8,0,1
shadow3690,18,1,6,0,3
shadow3690,18,2,20,0,0
shadow3690,18,3,6,0,3
shadow3690,18,4,6,0,3
shadow3690,18,5,5,1,5
shadow3690,18,6,20,0,0
shadow3690,18,7,4,3,8
shadow3690,18,8,20,0,0
STALLIONS,19,1,6,1,4
STALLIONS,19,2,8,0,1
STALLIONS,19,3,8,0,1
STALLIONS,19,4,8,0,1
STALLIONS,19,5,20,0,0
STALLIONS,19,6,20,0,0
STALLIONS,19,7,7,0,2
STALLIONS,19,8,4,4,9
Meteor,20,1,20,0,0
Meteor,20,2,7,0,2
Meteor,20,3,8,0,1
Meteor,20,4,20,0,0
Meteor,20,5,20,0,0
Meteor,20,6,20,0,0
Meteor,20,7,6,0,3
Meteor,20,8,6,1,4
