Team,Rank,Game,Placement,Kills,Points
AURORA,1,1,1,11,23
AURORA,1,2,3,4,11
AURORA,1,3,20,0,0
AURORA,1,4,1,10,22
AURORA,1,5,3,5,12
AURORA,1,6,3,4,11
AURORA,1,7,20,0,0
AURORA,1,8,2,10,19
ENTER FORCE.36,2,1,4,2,7
ENTER FORCE.36,2,2,20,0,0
ENTER FORCE.36,2,3,1,15,33
ENTER FORCE.36,2,4,4,4,9
ENTER FORCE.36,2,5,5,2,6
ENTER FORCE.36,2,6,3,6,13
ENTER FORCE.36,2,7,3,3,10
ENTER FORCE.36,2,8,20,0,0
GUILD,3,1,5,1,5
GUILD,3,2,2,6,15
GUILD,3,3,8,0,1
GUILD,3,4,8,0,1
GUILD,3,5,3,6,13
GUILD,3,6,2,10,19
GUILD,3,7,8,0,1
GUILD,3,8,3,5,12
FURIA,4,1,7,0,2
FURIA,4,2,5,1,5
FURIA,4,3,5,1,5
FURIA,4,4,4,2,7
FURIA,4,5,4,3,8
FURIA,4,6,4,2,7
FURIA,4,7,5,2,6
FURIA,4,8,1,14,26
Alliance,5,1,2,8,17
Alliance,5,2,7,0,2
Alliance,5,3,20,0,0
Alliance,5,4,3,3,10
Alliance,5,5,5,2,6
Alliance,5,6,20,0,0
Alliance,5,7,1,8,20
Alliance,5,8,5,2,6
TSM,6,1,4,2,7
TSM,6,2,4,3,8
TSM,6,3,3,5,12
TSM,6,4,7,0,2
TSM,6,5,2,7,16
TSM,6,6,20,0,0
TSM,6,7,3,3,10
TSM,6,8,20,0,0
Liquid Alienware,7,1,7,0,2
Liquid Alienware,7,2,1,10,22
Liquid Alienware,7,3,3,5,12
Liquid Alienware,7,4,8,0,1
Liquid Alienware,7,5,20,0,0
Liquid Alienware,7,6,20,0,0
Liquid Alienware,7,7,4,2,7
Liquid Alienware,7,8,4,2,7
GoNext,8,1,5,1,5
GoNext,8,2,5,1,5
GoNext,8,3,20,0,0
GoNext,8,4,8,0,1
GoNext,8,5,6,1,4
GoNext,8,6,3,5,12
GoNext,8,7,2,6,15
GoNext,8,8,7,0,2
GaiminGladiators,9,1,8,0,1
GaiminGladiators,9,2,6,1,4
GaiminGladiators,9,3,3,3,10
GaiminGladiators,9,4,5,1,5
GaiminGladiators,9,5,6,0,3
GaiminGladiators,9,6,20,0,0
GaiminGladiators,9,7,2,9,18
GaiminGladiators,9,8,6,0,3
ShopifyRebellion,10,1,6,0,3
ShopifyRebellion,10,2,3,6,13
ShopifyRebellion,10,3,6,1,4
ShopifyRebellion,10,4,3,4,11
ShopifyRebellion,10,5,7,0,2
ShopifyRebellion,10,6,8,0,1
ShopifyRebellion,10,7,8,0,1
ShopifyRebellion,10,8,4,2,7
Team Falcons,11,1,4,3,8
Team Falcons,11,2,6,0,3
Team Falcons,11,3,6,1,4
Team Falcons,11,4,7,0,2
Team Falcons,11,5,3,6,13
Team Falcons,11,6,5,2,6
Team Falcons,11,7,6,0,3
Team Falcons,11,8,20,0,0
Cloud9,12,1,7,0,2
Cloud9,12,2,3,3,10
Cloud9,12,3,4,2,7
Cloud9,12,4,7,0,2
Cloud9,12,5,6,0,3
Cloud9,12,6,8,0,1
Cloud9,12,7,5,2,6
Cloud9,12,8,4,2,7
100 Thieves,13,1,3,4,11
100 Thieves,13,2,5,1,5
100 Thieves,13,3,4,3,8
100 Thieves,13,4,20,0,0
100 Thieves,13,5,4,2,7
100 Thieves,13,6,20,0,0
100 Thieves,13,7,8,0,1
100 Thieves,13,8,8,0,1
CRAZY RACCOON,14,1,3,3,10
CRAZY RACCOON,14,2,20,0,0
CRAZY RACCOON,14,3,7,0,2
CRAZY RACCOON,14,4,8,0,1
CRAZY RACCOON,14,5,7,0,2
CRAZY RACCOON,14,6,2,6,15
CRAZY RACCOON,14,7,8,0,1
CRAZY RACCOON,14,8,20,0,0
Exo Clan,15,1,20,0,0
Exo Clan,15,2,6,1,4
Exo Clan,15,3,6,0,3
Exo Clan,15,4,3,6,13
Exo Clan,15,5,8,0,1
Exo Clan,15,6,6,0,3
Exo Clan,15,7,8,0,1
Exo Clan,15,8,5,1,5
Noctem,16,1,20,0,0
Noctem,16,2,8,0,1
Noctem,16,3,4,2,7
Noctem,16,4,3,4,11
Noctem,16,5,20,0,0
Noctem,16,6,5,1,5
Noctem,16,7,20,0,0
Noctem,16,8,6,1,4
Complexity,17,1,8,0,1
Complexity,17,2,8,0,1
Complexity,17,3,5,2,6
Complexity,17,4,6,0,3
Complexity,17,5,6,1,4
Complexity,17,6,6,1,4
Complexity,17,7,5,1,5
Complexity,17,8,7,0,2
Virtus.pro,18,1,20,0,0
Virtus.pro,18,2,20,0,0
Virtus.pro,18,3,8,0,1
Virtus.pro,18,4,20,0,0
Virtus.pro,18,5,6,0,3
Virtus.pro,18,6,8,0,1
Virtus.pro,18,7,5,1,5
Virtus.pro,18,8,3,4,11
FNATIC,19,1,5,2,6
FNATIC,19,2,20,0,0
FNATIC,19,3,20,0,0
FNATIC,19,4,20,0,0
FNATIC,19,5,5,1,5
FNATIC,19,6,5,2,6
FNATIC,19,7,20,0,0
FNATIC,19,8,8,0,1
GREEN STEGO,20,1,20,0,0
GREEN STEGO,20,2,20,0,0
GREEN STEGO,20,3,20,0,0
GREEN STEGO,20,4,6,0,3
GREEN STEGO,20,5,20,0,0
GREEN STEGO,20,6,5,2,6
GREEN STEGO,20,7,8,0,1
GREEN STEGO,20,8,7,0,2
