Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Game 7 P,Game 7 K,Game 8 P,Game 8 K,Game 9 P,Game 9 K,Game 10 P,Game 10 K,Overall Points
TSM,3,1,7,5,9,10,2,0,7,6,2,0,2,0,9,5,12,13,12,12,117
NinjasInPyjamas,1,0,1,4,5,13,12,12,12,12,2,7,1,3,0,0,2,8,1,1,97
FNATIC,0,0,0,0,4,7,7,2,0,0,12,9,2,3,12,13,3,5,0,1,80
KINOTROPE gaming,1,3,5,5,1,4,1,0,3,4,2,5,2,6,3,6,2,0,9,7,69
Wolves Esports,2,1,9,4,1,1,4,3,1,5,4,1,0,0,5,1,7,6,4,7,66
NAVI,2,3,0,1,3,3,2,4,4,2,3,3,12,13,1,0,0,1,1,0,58
ENTER FORCE.36,0,0,4,5,2,1,3,4,5,6,0,0,1,1,7,8,2,6,1,0,56
AG.AL,12,14,0,1,0,0,0,0,0,1,1,2,3,6,0,0,1,3,3,5,52
FURIA,0,1,1,2,12,5,1,0,2,2,0,0,0,0,0,1,9,5,3,3,47
MOUZ,1,0,3,1,0,0,5,11,0,0,7,5,0,3,3,3,3,2,0,0,47
AlQadsiahEsports,3,7,2,6,2,3,0,0,1,1,1,0,1,0,0,0,1,0,7,8,43
NOEZ FOXX,2,0,3,0,2,3,1,0,9,4,1,0,1,1,4,2,0,2,1,1,37
Gen.G Esports,0,0,1,3,1,0,3,3,1,0,3,1,7,2,1,5,1,0,5,0,37
Sentinels,0,3,2,3,3,1,1,0,1,4,0,1,0,2,2,5,0,0,1,3,32
MOVISTAR KOI,1,0,0,0,0,0,1,6,2,1,0,1,9,6,1,0,0,0,0,3,31
EDward Gaming,4,7,0,0,0,0,0,0,0,0,0,0,5,5,1,1,4,1,0,0,28
Zero Tenacity,1,4,2,5,1,1,0,0,2,0,1,3,0,1,0,0,1,2,2,1,27
