Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Forbidden,4,11,8,5,32,14,74
Source Gaming,22,11,7,2,6,18,66
Corinthians E.,0,17,7,14,2,21,61
MOVISTAR KOI,8,30,10,7,0,5,60
MetaTensei,2,1,16,17,12,7,55
ATLAS,7,4,1,12,7,9,40
Rukus,11,3,6,4,11,4,39
BPR,2,5,20,5,1,4,37
Kakkoii,6,10,4,4,5,4,33
HAO,0,3,14,6,2,7,32
TIE,3,1,1,20,4,1,30
LICS ONIRIA,0,2,6,9,4,8,29
talented,12,1,0,4,8,2,27
FC logic,12,5,1,0,7,2,27
Pensioners,6,0,7,5,0,1,19
Nibble Africa,6,2,0,0,4,2,14
TEQWING,2,2,1,1,2,0,8
Banh Mi,3,0,0,0,1,0,4
