Team,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Overall Points
Twerkaholics,16,29,2,1,10,25,83
Natus Vincere,8,10,23,6,4,5,56
FURIA,1,5,8,4,27,6,51
YungBlackRicky,3,17,7,9,7,7,50
NRG,1,10,19,5,6,8,49
S8UL,5,9,3,3,16,13,49
Liquid Alienware,7,2,1,31,1,3,45
Monster,18,0,4,0,3,20,45
Twisted Minds,7,2,4,8,9,8,38
VK GAMING,11,0,14,4,7,0,36
7T,6,3,9,2,6,0,26
CrazyRaccoon,0,1,7,17,0,0,25
Unreal Nightmare,11,6,1,0,3,2,23
CTE,0,7,7,4,2,0,20
Specter Esports,0,1,0,4,13,1,19
VCGO,2,3,1,4,2,6,18
eternal,9,0,3,0,0,4,16
SJP2,2,1,0,7,0,4,14
Zero Tenacity,0,5,4,3,0,2,14
VG,3,3,0,0,0,1,7
