Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
GHS BoooM,0,2,12,19,1,0,12,9,1,0,12,7,75
9Lies Esports,0,2,7,10,5,12,5,3,1,10,3,4,62
TSM,12,12,9,5,1,2,7,2,1,1,2,0,54
ENVY,1,0,2,3,7,6,3,2,2,8,9,11,54
Aurora,3,5,1,0,3,9,0,0,12,14,1,3,51
FNATIC,9,7,0,0,1,0,9,11,2,0,2,5,46
Complexity,5,2,0,5,4,6,0,3,4,4,2,8,43
Alliance,1,3,5,6,9,7,0,0,0,0,5,5,41
Zesty Besties,2,2,3,4,0,2,2,2,3,9,4,5,38
REALIZE NOVA,2,0,2,1,12,8,1,2,3,0,1,0,32
BacalhauV2,3,1,3,0,1,0,0,2,9,5,7,1,32
Rival Esports,7,7,1,2,0,0,3,4,1,0,0,0,25
ROC,2,7,0,0,2,0,2,4,1,2,1,3,24
DeepCrossGaming,1,0,4,3,1,1,1,3,0,0,3,5,22
Vcan,0,0,1,1,0,0,1,3,7,2,1,1,17
TAKE FLYTE,0,0,1,0,3,5,1,0,2,5,0,0,17
F9 Eicar,4,0,0,0,2,0,2,1,5,0,1,1,16
Dory,1,3,2,2,0,0,4,2,0,0,0,0,14
ICIGEKI,0,3,1,0,2,0,0,2,0,0,0,0,8
Bearclaw Gaming,1,3,0,0,0,0,1,2,0,0,0,0,7
