Team,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Overall Points
O2esports,5,4,9,8,7,2,1,0,2,3,9,7,57
Pioneers,1,1,1,0,9,7,7,9,7,4,5,5,56
Team Nemesis,7,8,2,0,2,3,2,3,12,11,2,2,54
Reject Winnity,12,7,3,2,12,8,0,0,1,5,1,3,54
Danish,1,3,7,7,5,1,4,7,3,9,3,1,51
RIDDLE ORDER,2,1,2,0,3,7,1,1,3,1,12,13,46
SOTEN,9,5,1,3,2,6,3,7,4,1,1,1,43
BBL,3,0,3,9,3,6,1,0,1,3,7,0,36
No Surrender,4,5,1,1,1,0,9,6,1,0,3,3,34
Virtue,1,0,0,0,1,1,12,6,2,3,1,5,32
SVP Water,2,0,5,2,2,0,5,2,9,3,2,0,32
Soleil Gaming,1,1,12,6,1,0,1,3,2,2,2,0,31
Most Hated,2,5,1,0,4,6,3,3,1,0,4,2,31
AAAAAAAAAAHHHHHH,3,0,4,1,1,2,2,1,5,4,1,2,26
GoNext,1,0,2,6,1,2,2,2,1,2,1,2,22
Oxygen None arEa,0,1,1,0,0,0,1,0,0,0,0,0,3
