Team,Rank,Game,Placement,Kills,Points
TSM,1,1,6,1,4
TSM,1,2,3,5,12
TSM,1,3,2,10,19
TSM,1,4,9,0,2
TSM,1,5,3,6,13
TSM,1,6,8,0,2
TSM,1,7,9,0,2
TSM,1,8,2,5,14
TSM,1,9,1,13,25
TSM,1,10,1,12,24
NinjasInPyjamas,3,1,11,0,1
NinjasInPyjamas,3,2,15,4,5
NinjasInPyjamas,3,3,4,13,18
NinjasInPyjamas,3,4,1,12,24
NinjasInPyjamas,3,5,1,12,24
NinjasInPyjamas,3,6,9,7,9
NinjasInPyjamas,3,7,12,3,4
NinjasInPyjamas,3,8,20,0,0
NinjasInPyjamas,3,9,9,8,10
NinjasInPyjamas,3,10,11,1,2
FNATIC,4,1,19,0,0
FNATIC,4,2,17,0,0
FNATIC,4,3,5,7,11
FNATIC,4,4,3,2,9
FNATIC,4,5,17,0,0
FNATIC,4,6,1,9,21
FNATIC,4,7,10,3,5
FNATIC,4,8,1,13,25
FNATIC,4,9,7,5,8
FNATIC,4,10,17,1,1
KINOTROPE gaming,5,1,14,3,4
KINOTROPE gaming,5,2,4,5,10
KINOTROPE gaming,5,3,14,4,5
KINOTROPE gaming,5,4,15,0,1
KINOTROPE gaming,5,5,6,4,7
KINOTROPE gaming,5,6,10,5,7
KINOTROPE gaming,5,7,8,6,8
KINOTROPE gaming,5,8,7,6,9
KINOTROPE gaming,5,9,10,0,2
KINOTROPE gaming,5,10,2,7,16
Wolves Esports,6,1,9,1,3
Wolves Esports,6,2,2,4,13
Wolves Esports,6,3,11,1,2
Wolves Esports,6,4,5,3,7
Wolves Esports,6,5,14,5,6
Wolves Esports,6,6,5,1,5
Wolves Esports,6,7,20,0,0
Wolves Esports,6,8,4,1,6
Wolves Esports,6,9,3,6,13
Wolves Esports,6,10,5,7,11
NAVI,7,1,8,3,5
NAVI,7,2,18,1,1
NAVI,7,3,6,3,6
NAVI,7,4,8,4,6
NAVI,7,5,5,2,6
NAVI,7,6,7,3,6
NAVI,7,7,1,13,25
NAVI,7,8,14,0,1
NAVI,7,9,18,1,1
NAVI,7,10,14,0,1
ENTER FORCE.36,8,1,17,0,0
ENTER FORCE.36,8,2,5,5,9
ENTER FORCE.36,8,3,10,1,3
ENTER FORCE.36,8,4,6,4,7
ENTER FORCE.36,8,5,4,6,11
ENTER FORCE.36,8,6,19,0,0
ENTER FORCE.36,8,7,15,1,2
ENTER FORCE.36,8,8,3,8,15
ENTER FORCE.36,8,9,8,6,8
ENTER FORCE.36,8,10,13,0,1
AG.AL,9,1,1,14,26
AG.AL,9,2,16,1,1
AG.AL,9,3,17,0,0
AG.AL,9,4,16,0,0
AG.AL,9,5,16,1,1
AG.AL,9,6,13,2,3
AG.AL,9,7,6,6,9
AG.AL,9,8,17,0,0
AG.AL,9,9,14,3,4
AG.AL,9,10,6,5,8
FURIA,11,1,18,1,1
FURIA,11,2,12,2,3
FURIA,11,3,1,5,17
FURIA,11,4,11,0,1
FURIA,11,5,10,2,4
FURIA,11,6,17,0,0
FURIA,11,7,18,0,0
FURIA,11,8,18,1,1
FURIA,11,9,2,5,14
FURIA,11,10,7,3,6
MOUZ,12,1,15,0,1
MOUZ,12,2,6,1,4
MOUZ,12,3,16,0,0
MOUZ,12,4,4,11,16
MOUZ,12,5,20,0,0
MOUZ,12,6,3,5,12
MOUZ,12,7,19,3,3
MOUZ,12,8,6,3,6
MOUZ,12,9,6,2,5
MOUZ,12,10,18,0,0
AlQadsiahEsports,14,1,7,7,10
AlQadsiahEsports,14,2,8,6,8
AlQadsiahEsports,14,3,8,3,5
AlQadsiahEsports,14,4,18,0,0
AlQadsiahEsports,14,5,13,1,2
AlQadsiahEsports,14,6,15,0,1
AlQadsiahEsports,14,7,13,0,1
AlQadsiahEsports,14,8,19,0,0
AlQadsiahEsports,14,9,11,0,1
AlQadsiahEsports,14,10,3,8,15
NOEZ FOXX,15,1,10,0,2
NOEZ FOXX,15,2,7,0,3
NOEZ FOXX,15,3,9,3,5
NOEZ FOXX,15,4,13,0,1
NOEZ FOXX,15,5,2,4,13
NOEZ FOXX,15,6,11,0,1
NOEZ FOXX,15,7,11,1,2
NOEZ FOXX,15,8,5,2,6
NOEZ FOXX,15,9,17,2,2
NOEZ FOXX,15,10,12,1,2
Gen.G Esports,16,1,20,0,0
Gen.G Esports,16,2,14,3,4
Gen.G Esports,16,3,12,0,1
Gen.G Esports,16,4,7,3,6
Gen.G Esports,16,5,15,0,1
Gen.G Esports,16,6,6,1,4
Gen.G Esports,16,7,3,2,9
Gen.G Esports,16,8,12,5,6
Gen.G Esports,16,9,15,0,1
Gen.G Esports,16,10,4,0,5
Sentinels,17,1,16,3,3
Sentinels,17,2,9,3,5
Sentinels,17,3,7,1,4
Sentinels,17,4,14,0,1
Sentinels,17,5,11,4,5
Sentinels,17,6,16,1,1
Sentinels,17,7,16,2,2
Sentinels,17,8,9,5,7
Sentinels,17,9,16,0,0
Sentinels,17,10,15,3,4
MOVISTAR KOI,18,1,13,0,1
MOVISTAR KOI,18,2,20,0,0
MOVISTAR KOI,18,3,19,0,0
MOVISTAR KOI,18,4,12,6,7
MOVISTAR KOI,18,5,9,1,3
MOVISTAR KOI,18,6,18,1,1
MOVISTAR KOI,18,7,2,6,15
MOVISTAR KOI,18,8,13,0,1
MOVISTAR KOI,18,9,20,0,0
MOVISTAR KOI,18,10,16,3,3
EDward Gaming,19,1,5,7,11
EDward Gaming,19,2,19,0,0
EDward Gaming,19,3,18,0,0
EDward Gaming,19,4,17,0,0
EDward Gaming,19,5,18,0,0
EDward Gaming,19,6,20,0,0
EDward Gaming,19,7,4,5,10
EDward Gaming,19,8,15,1,2
EDward Gaming,19,9,5,1,5
EDward Gaming,19,10,19,0,0
Zero Tenacity,20,1,12,4,5
Zero Tenacity,20,2,10,5,7
Zero Tenacity,20,3,15,1,2
Zero Tenacity,20,4,20,0,0
Zero Tenacity,20,5,8,0,2
Zero Tenacity,20,6,12,3,4
Zero Tenacity,20,7,17,1,1
Zero Tenacity,20,8,16,0,0
Zero Tenacity,20,9,12,2,3
Zero Tenacity,20,10,10,1,3
