Team,Rank,Game,Placement,Kills,Points
FURIA,1,1,2,11,20
FURIA,1,2,2,13,22
FURIA,1,3,5,4,8
FURIA,1,4,3,14,21
FURIA,1,5,14,2,3
FURIA,1,6,1,12,24
NRG,2,1,1,10,22
NRG,2,2,8,4,6
NRG,2,3,6,10,13
NRG,2,4,18,0,0
NRG,2,5,1,13,25
NRG,2,6,7,11,14
Natus Vincere,3,1,6,5,8
Natus Vincere,3,2,1,10,22
Natus Vincere,3,3,1,15,27
Natus Vincere,3,4,19,0,0
Natus Vincere,3,5,6,6,9
Natus Vincere,3,6,4,2,7
SJP2,4,1,15,2,3
SJP2,4,2,16,3,3
SJP2,4,3,17,0,0
SJP2,4,4,14,5,6
SJP2,4,5,5,7,11
SJP2,4,6,2,22,31
VK GAMING,5,1,7,1,4
VK GAMING,5,2,5,1,5
VK GAMING,5,3,4,2,7
VK GAMING,5,4,4,4,9
VK GAMING,5,5,2,11,20
VK GAMING,5,6,18,0,0
Unreal Nightmare,6,1,11,0,1
Unreal Nightmare,6,2,4,8,13
Unreal Nightmare,6,3,3,7,14
Unreal Nightmare,6,4,12,2,3
Unreal Nightmare,6,5,10,1,3
Unreal Nightmare,6,6,14,2,3
CrazyRaccoon,7,1,17,1,1
CrazyRaccoon,7,2,6,3,6
CrazyRaccoon,7,3,14,2,3
CrazyRaccoon,7,4,1,8,20
CrazyRaccoon,7,5,17,0,0
CrazyRaccoon,7,6,5,2,6
Twerkaholics,8,1,9,9,11
Twerkaholics,8,2,9,2,4
Twerkaholics,8,3,15,5,6
Twerkaholics,8,4,9,4,6
Twerkaholics,8,5,11,2,3
Twerkaholics,8,6,11,2,3
CTE,9,1,14,2,3
CTE,9,2,11,2,3
CTE,9,3,12,3,4
CTE,9,4,2,10,19
CTE,9,5,13,0,1
CTE,9,6,19,0,0
Monster,10,1,3,3,10
Monster,10,2,7,1,4
Monster,10,3,8,3,5
Monster,10,4,11,0,1
Monster,10,5,15,1,2
Monster,10,6,3,1,8
Activist YOTTA,11,1,4,2,7
Activist YOTTA,11,2,19,0,0
Activist YOTTA,11,3,9,0,2
Activist YOTTA,11,4,5,1,5
Activist YOTTA,11,5,3,1,8
Activist YOTTA,11,6,6,2,5
Never On Time,12,1,18,0,0
Never On Time,12,2,3,6,13
Never On Time,12,3,11,1,2
Never On Time,12,4,10,3,5
Never On Time,12,5,16,2,2
Never On Time,12,6,9,3,5
ORB GARDEN,13,1,16,1,1
ORB GARDEN,13,2,10,0,2
ORB GARDEN,13,3,2,4,13
ORB GARDEN,13,4,7,0,3
ORB GARDEN,13,5,8,3,5
ORB GARDEN,13,6,10,1,3
GROW Gaming,14,1,10,9,11
GROW Gaming,14,2,12,1,2
GROW Gaming,14,3,19,0,0
GROW Gaming,14,4,13,3,4
GROW Gaming,14,5,19,0,0
GROW Gaming,14,6,12,2,3
Reply Totem,15,1,20,0,0
Reply Totem,15,2,14,0,1
Reply Totem,15,3,18,0,0
Reply Totem,15,4,17,0,0
Reply Totem,15,5,4,8,13
Reply Totem,15,6,8,0,2
LEAVENOWITNESS,16,1,5,2,6
LEAVENOWITNESS,16,2,18,1,1
LEAVENOWITNESS,16,3,7,0,3
LEAVENOWITNESS,16,4,16,0,0
LEAVENOWITNESS,16,5,9,2,4
LEAVENOWITNESS,16,6,13,1,2
3 Muppets,17,1,8,0,2
3 Muppets,17,2,15,1,2
3 Muppets,17,3,13,0,1
3 Muppets,17,4,6,0,3
3 Muppets,17,5,12,0,1
3 Muppets,17,6,16,3,3
Boo,18,1,19,0,0
Boo,18,2,20,0,0
Boo,18,3,10,0,2
Boo,18,4,8,2,4
Boo,18,5,7,0,3
Boo,18,6,20,0,0
OutSide,19,1,13,0,1
OutSide,19,2,13,1,2
OutSide,19,3,16,2,2
OutSide,19,4,20,0,0
OutSide,19,5,18,0,0
OutSide,19,6,17,3,3
DeeSports,20,1,12,0,1
DeeSports,20,2,17,0,0
DeeSports,20,3,20,0,0
DeeSports,20,4,15,0,1
DeeSports,20,5,20,0,0
DeeSports,20,6,15,0,1
