Team,Rank,Game,Placement,Kills,Points
O2esports,1,1,4,4,9
O2esports,1,2,2,8,17
O2esports,1,3,3,2,9
O2esports,1,4,15,0,1
O2esports,1,5,8,3,5
O2esports,1,6,2,7,16
Pioneers,2,1,11,1,2
Pioneers,2,2,11,0,1
Pioneers,2,3,2,7,16
Pioneers,2,4,3,9,16
Pioneers,2,5,3,4,11
Pioneers,2,6,4,5,10
Team Nemesis,3,1,3,8,15
Team Nemesis,3,2,10,0,2
Team Nemesis,3,3,10,3,5
Team Nemesis,3,4,9,3,5
Team Nemesis,3,5,1,11,23
Team Nemesis,3,6,8,2,4
Reject Winnity,4,1,1,7,19
Reject Winnity,4,2,7,2,5
Reject Winnity,4,3,1,8,20
Reject Winnity,4,4,16,0,0
Reject Winnity,4,5,12,5,6
Reject Winnity,4,6,13,3,4
Danish,5,1,12,3,4
Danish,5,2,3,7,14
Danish,5,3,4,1,6
Danish,5,4,5,7,11
Danish,5,5,7,9,12
Danish,5,6,6,1,4
RIDDLE ORDER,6,1,9,1,3
RIDDLE ORDER,6,2,8,0,2
RIDDLE ORDER,6,3,7,7,10
RIDDLE ORDER,6,4,14,1,2
RIDDLE ORDER,6,5,6,1,4
RIDDLE ORDER,6,6,1,13,25
SOTEN,7,1,2,5,14
SOTEN,7,2,15,3,4
SOTEN,7,3,9,6,8
SOTEN,7,4,6,7,10
SOTEN,7,5,5,1,5
SOTEN,7,6,15,1,2
BBL,8,1,7,0,3
BBL,8,2,6,9,12
BBL,8,3,6,6,9
BBL,8,4,12,0,1
BBL,8,5,15,3,4
BBL,8,6,3,0,7
No Surrender,9,1,5,5,9
No Surrender,9,2,12,1,2
No Surrender,9,3,15,0,1
No Surrender,9,4,2,6,15
No Surrender,9,5,11,0,1
No Surrender,9,6,7,3,6
Virtue,10,1,15,0,1
Virtue,10,2,16,0,0
Virtue,10,3,11,1,2
Virtue,10,4,1,6,18
Virtue,10,5,10,3,5
Virtue,10,6,11,5,6
SVP Water,11,1,8,0,2
SVP Water,11,2,4,2,7
SVP Water,11,3,8,0,2
SVP Water,11,4,4,2,7
SVP Water,11,5,2,3,12
SVP Water,11,6,9,0,2
Soleil Gaming,12,1,14,1,2
Soleil Gaming,12,2,1,6,18
Soleil Gaming,12,3,13,0,1
Soleil Gaming,12,4,13,3,4
Soleil Gaming,12,5,9,2,4
Soleil Gaming,12,6,10,0,2
Most Hated,13,1,10,5,7
Most Hated,13,2,13,0,1
Most Hated,13,3,5,6,10
Most Hated,13,4,7,3,6
Most Hated,13,5,13,0,1
Most Hated,13,6,5,2,6
AAAAAAAAAAHHHHHH,14,1,6,0,3
AAAAAAAAAAHHHHHH,14,2,5,1,5
AAAAAAAAAAHHHHHH,14,3,12,2,3
AAAAAAAAAAHHHHHH,14,4,10,1,3
AAAAAAAAAAHHHHHH,14,5,4,4,9
AAAAAAAAAAHHHHHH,14,6,12,2,3
GoNext,15,1,13,0,1
GoNext,15,2,9,6,8
GoNext,15,3,14,2,3
GoNext,15,4,8,2,4
GoNext,15,5,14,2,3
GoNext,15,6,14,2,3
Oxygen None arEa,16,1,16,1,1
Oxygen None arEa,16,2,14,0,1
Oxygen None arEa,16,3,16,0,0
Oxygen None arEa,16,4,11,0,1
Oxygen None arEa,16,5,16,0,0
Oxygen None arEa,16,6,16,0,0
